"filename", "language", "PostCSS", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/morpho-viewer-simul.module.css", "PostCSS", 84, 0, 0, 0, 11, 95
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/morpho-viewer-simul.tsx", "TypeScript JSX", 0, 0, 79, 1, 4, 84
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/camera.ts", "TypeScript", 0, 36, 0, 0, 3, 39
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/index.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/initializer.ts", "TypeScript", 0, 34, 0, 9, 11, 54
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/manager.ts", "TypeScript", 0, 460, 0, 44, 70, 574
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/math.ts", "TypeScript", 0, 51, 0, 0, 4, 55
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/morphology-data.ts", "TypeScript", 0, 47, 0, 0, 11, 58
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/offscreen-painter/index.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/offscreen-painter/material-index.ts", "TypeScript", 0, 17, 0, 0, 2, 19
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/offscreen-painter/offscreen-painter.ts", "TypeScript", 0, 92, 0, 2, 13, 107
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/painters/contants.ts", "TypeScript", 0, 11, 0, 0, 2, 13
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/painters/highlight.ts", "TypeScript", 0, 44, 0, 0, 2, 46
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/painters/index.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/painters/overlay/cursor/cursor.ts", "TypeScript", 0, 44, 0, 0, 5, 49
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/painters/overlay/cursor/fill.ts", "TypeScript", 0, 96, 0, 0, 6, 102
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/painters/overlay/cursor/index.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/painters/overlay/cursor/texture.ts", "TypeScript", 0, 19, 0, 0, 3, 22
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/painters/overlay/index.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/painters/overlay/overlay.ts", "TypeScript", 0, 118, 0, 7, 11, 136
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/painters/overlay/ticks.ts", "TypeScript", 0, 148, 0, 3, 13, 164
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/painters/painter.ts", "TypeScript", 0, 173, 0, 7, 12, 192
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/painters/spiking/index.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/painters/spiking/spiking.ts", "TypeScript", 0, 135, 0, 4, 13, 152
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/painters/synapses.ts", "TypeScript", 0, 122, 0, 1, 13, 136
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/segments.ts", "TypeScript", 0, 87, 0, 3, 10, 100
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/soma.ts", "TypeScript", 0, 44, 0, 0, 6, 50
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/spiking-manager.ts", "TypeScript", 0, 156, 0, 6, 27, 189
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/structure.ts", "TypeScript", 0, 221, 0, 19, 23, 263
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/transition.ts", "TypeScript", 0, 154, 0, 4, 23, 181
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/painter/tree.ts", "TypeScript", 0, 101, 0, 10, 14, 125
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/types/private.ts", "TypeScript", 0, 32, 0, 0, 4, 36
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/types/public.ts", "TypeScript", 0, 63, 0, 20, 10, 93
"/home/tolokoban/Code/OBI/morphoviewer/lib/src/components/morpho-viewer-simul/utils.ts", "TypeScript", 0, 24, 0, 5, 3, 32
"Total", "-", 426, 2844, 558, 196, 499, 4523
